active_through,incumbent_challenge,district_number,first_file_date,has_raised_funds,party_full,election_districts,office,district,last_f2_date,state,candidate_id,party,election_years,office_full,candidate_status,federal_funds_flag,name,load_date,flags,last_file_date,cycles,incumbent_challenge_full
2018,C,6,2017-04-26,True,DEMOCRATIC PARTY,[u'06'],H,06,2017-04-26,CO,H8CO06237,DEM,[2018],House,C,False,"AARESTAD, DAVID",2017-08-01T20:57:28,H8CO06237,2017-04-26,[2018],Challenger
2018,C,3,2017-04-10,False,REPUBLICAN PARTY,"[u'03', u'03']",H,03,2017-04-10,AZ,H6AZ03245,REP,"[2016, 2018]",House,N,False,"ABATECOLA, BILL",2017-04-19T21:05:08,H6AZ03245,2017-04-10,"[2016, 2018]",Challenger
2018,C,0,2017-04-11,True,DEMOCRATIC PARTY,[u'00'],S,00,2017-04-11,AZ,S8AZ00122,DEM,[2018],Senate,C,False,"ABBOUD, DEEDRA",2017-10-31T20:56:03,S8AZ00122,2017-04-11,[2018],Challenger
2018,C,5,2017-01-18,True,DEMOCRATIC PARTY,[u'05'],H,05,2017-01-18,MN,H8MN05163,DEM,[2018],House,C,False,"ABDULAHI, JAMAL MR.",2017-05-04T23:07:53,H8MN05163,2017-01-18,[2018],Challenger
2018,,6,2017-10-20,False,DEMOCRATIC PARTY,[u'06'],H,06,2017-10-20,GA,H8GA06377,DEM,[2018],House,N,False,"ABEL, KEVIN",2017-10-20T21:01:07,H8GA06377,2017-10-20,[2018],
2018,I,5,2014-05-23,True,REPUBLICAN PARTY,"[u'05', u'05', u'05']",H,05,2017-05-31,LA,H4LA05221,REP,"[2014, 2016, 2018]",House,C,False,"ABRAHAM, RALPH LEE DR. JR.",2017-06-05T23:09:09,H4LA05221,2017-05-31,"[2014, 2016, 2018]",Incumbent
2018,C,0,2017-01-25,False,REPUBLICAN PARTY,[u'00'],H,00,2017-01-25,NC,H8NC00023,REP,[2018],House,N,False,"ABRAMS, DR MARCIA KAREN",2017-05-23T07:10:20,H8NC00023,2017-01-25,[2018],Challenger
2018,O,1,2017-05-16,True,DEMOCRATIC PARTY,[u'01'],H,01,2017-05-16,NM,H8NM01356,DEM,[2018],House,N,False,"ABRAMS, JOHN E.",2017-08-01T20:57:28,H8NM01356,2017-05-16,[2018],Open seat
2018,C,0,2016-08-17,True,REPUBLICAN PARTY,"[u'00', u'00']",S,00,2017-01-23,NC,S6NC00324,REP,"[2016, 2018]",Senate,N,False,"ABRAMS, MARCIA KAREN DR PHD",2017-05-23T07:10:20,S6NC00324,2017-01-23,"[2016, 2018]",Challenger
2018,C,7,2016-05-10,True,DEMOCRATIC PARTY,[u'07'],H,07,2016-07-22,NC,H8NC07093,DEM,[2018],House,N,False,"ACKER, BRANDON W.",2017-01-05T21:04:01,H8NC07093,2016-07-22,"[2016, 2018]",Challenger
2018,C,0,2017-09-21,False,REPUBLICAN PARTY,[u'00'],S,00,2017-09-21,OH,S8OH00094,REP,[2018],Senate,N,False,"ACKISON, MELISSA",2017-10-05T20:56:00,S8OH00094,2017-09-21,[2018],Challenger
2018,C,6,2017-03-29,False,LIBERTARIAN PARTY,[u'06'],H,06,2017-03-29,TX,H8TX06209,LIB,[2018],House,N,False,"ADAIR, GLENN DAREN MR. N/A",2017-04-19T21:05:08,H8TX06209,2017-03-29,[2018],Challenger
2018,I,12,2013-06-27,True,DEMOCRATIC PARTY,"[u'12', u'12', u'12']",H,12,2017-01-23,NC,H4NC12100,DEM,"[2014, 2016, 2018]",House,C,False,"ADAMS, ALMA SHEALEY",2017-05-05T21:04:59,H4NC12100,2017-01-23,"[2014, 2016, 2018]",Incumbent
2018,C,0,2017-03-01,False,DEMOCRATIC PARTY,[u'00'],S,00,2017-04-24,CT,S8CT00105,DEM,[2018],Senate,N,False,"ADAMS, ANN MARIE DR",2017-05-23T07:10:20,S8CT00105,2017-04-24,[2018],Challenger
2018,C,5,2017-03-10,True,DEMOCRATIC PARTY,[u'05'],H,05,2017-03-29,NC,H8NC05063,DEM,[2018],House,C,False,"ADAMS, DENISE DARCEL",2017-09-13T20:57:39,H8NC05063,2017-03-29,[2018],Challenger
2018,,4,2017-10-30,False,DEMOCRATIC PARTY,[u'04'],H,04,2017-10-30,MI,H8MI04085,DEM,[2018],House,N,False,"ADAMS, DION",2017-10-30T20:58:29,H8MI04085,2017-10-30,[2018],
2018,C,0,2017-03-21,False,REPUBLICAN PARTY,[u'00'],S,00,2017-08-28,CA,S8CA00325,REP,[2018],Senate,N,False,"ADAMS, DONALD R",2017-11-09T20:56:45,S8CA00325,2017-08-28,[2018],Challenger
2018,C,10,2017-07-07,True,DEMOCRATIC PARTY,[u'10'],H,10,2017-07-07,VA,H8VA10148,DEM,[2018],House,C,False,"ADAMS, KIMBERLY",2017-10-16T21:00:02,H8VA10148,2017-07-07,[2018],Challenger
