last_report_year,election_years,transfers_from_affiliated_committee,net_contributions,individual_contributions,cycle,fundraising_disbursements,coverage_start_date,incumbent_challenge_full,active_through,offsets_to_fundraising_expenditures,loan_repayments_other_loans,office_full,offsets_to_legal_accounting,receipts,repayments_loans_made_by_candidate,last_file_date,refunded_other_political_committee_contributions,net_operating_expenditures,transfers_from_other_authorized_committee,load_date,has_raised_funds,other_loans_received,last_debts_owed_by_committee,district,disbursements,other_receipts,refunded_political_party_committee_contributions,name,incumbent_challenge,all_other_loans,refunded_individual_contributions,other_disbursements,contributions,operating_expenditures,other_political_committee_contributions,federal_funds_flag,contribution_refunds,transfers_to_other_authorized_committee,loans_received,candidate_status,cycles,party,last_f2_date,last_report_type_full,candidate_contribution,flags,last_debts_owed_to_committee,offsets_to_operating_expenditures,office,last_cash_on_hand_end_period,exempt_legal_accounting_disbursement,individual_itemized_contributions,state,federal_funds,first_file_date,full_election,loans_made_by_candidate,political_party_committee_contributions,loans_received_from_candidate,election_districts,loan_repayments_candidate_loans,loan_repayments_made,loans,party_full,district_number,last_net_operating_expenditures,coverage_end_date,total_offsets_to_operating_expenditures,last_beginning_image_number,loan_repayments,last_net_contributions,individual_unitemized_contributions,repayments_other_loans,candidate_id
2017,[2018],,89826.51,82786.0,2018,,2017-04-01T00:00:00+00:00,Challenger,2018,,0.0,House,,89946.98,,2017-04-26,0.0,74300.38,0.0,2017-08-01T20:57:28,True,,0.0,06,74420.85,0.0,0.0,"AARESTAD, DAVID",C,0.0,54.0,0.0,89880.51,74366.85,0.0,False,0.0,0.0,,C,[2018],DEM,2017-04-26,OCTOBER QUARTERLY,7094.51,H8CO06237,0.0,66.47,H,15526.13,,60397.0,CO,,2017-04-26,False,0.0,0.0,,[u'06'],0.0,,0.0,DEMOCRATIC PARTY,6,60596.91,2017-09-30T00:00:00+00:00,,201710159075705670,0.0,35562.0,22389.0,,H8CO06237
,"[2016, 2018]",,,,,,,Challenger,2018,,,House,,,,2017-04-10,,,,2017-04-19T21:05:08,False,,,03,,,,"ABATECOLA, BILL",C,,,,,,,False,,,,N,"[2016, 2018]",REP,2017-04-10,,,H6AZ03245,,,H,,,,AZ,,2017-04-10,,,,,"[u'03', u'03']",,,,REPUBLICAN PARTY,3,,,,,,,,,H6AZ03245
2017,[2018],,20428.0,15907.0,2018,,2017-04-01T00:00:00+00:00,Challenger,2018,,0.0,Senate,,20442.0,,2017-04-11,0.0,12580.0,0.0,2017-10-31T20:56:03,True,,73975.0,00,12594.0,0.0,0.0,"ABBOUD, DEEDRA",C,0.0,14.0,0.0,20442.0,12580.0,0.0,False,0.0,0.0,,C,[2018],DEM,2017-04-11,OCTOBER QUARTERLY,4535.0,S8AZ00122,0.0,0.0,S,7849.0,,4320.0,AZ,,2017-04-11,False,0.0,0.0,,[u'00'],0.0,,0.0,DEMOCRATIC PARTY,0,8490.0,2017-09-30T00:00:00+00:00,,201710130200291763,0.0,13583.0,11587.0,,S8AZ00122
2017,[2018],,24797.34,65997.34,2018,,2017-01-01T00:00:00+00:00,Challenger,2018,,0.0,House,,65997.35,,2017-01-18,0.0,16210.89,0.0,2017-05-04T23:07:53,True,,0.0,05,65997.35,0.01,0.0,"ABDULAHI, JAMAL MR.",C,0.0,41200.0,8586.46,65997.34,16210.89,0.0,False,0.0,0.0,,C,[2018],DEM,2017-01-18,TERMINATION REPORT,0.0,H8MN05163,0.0,0.0,H,0.0,,63747.34,MN,,2017-01-18,False,0.0,0.0,,[u'05'],0.0,,0.0,DEMOCRATIC PARTY,5,3615.61,2017-06-30T00:00:00+00:00,,201706309066462046,0.0,-38360.0,2250.0,,H8MN05163
,[2018],,,,,,,,2018,,,House,,,,2017-10-20,,,,2017-10-20T21:01:07,False,,,06,,,,"ABEL, KEVIN",,,,,,,,False,,,,N,[2018],DEM,2017-10-20,,,H8GA06377,,,H,,,,GA,,2017-10-20,,,,,[u'06'],,,,DEMOCRATIC PARTY,6,,,,,,,,,H8GA06377
2017,"[2014, 2016, 2018]",,344539.78,194339.78,2018,,2017-01-01T00:00:00+00:00,Incumbent,2018,,0.0,House,,347590.94,,2017-05-31,0.0,168720.38,0.0,2017-06-05T23:09:09,True,,0.0,05,258590.38,3051.16,0.0,"ABRAHAM, RALPH LEE DR. JR.",I,0.0,0.0,14870.0,344539.78,168720.38,146200.0,False,0.0,0.0,,C,"[2014, 2016, 2018]",REP,2017-05-31,OCTOBER QUARTERLY,0.0,H4LA05221,0.0,0.0,H,297161.94,,190250.0,LA,,2014-05-23,False,0.0,4000.0,,"[u'05', u'05', u'05']",75000.0,,0.0,REPUBLICAN PARTY,5,43076.67,2017-09-30T00:00:00+00:00,,201710139075659126,75000.0,78039.78,4089.78,,H4LA05221
,[2018],,,,,,,Challenger,2018,,,House,,,,2017-01-25,,,,2017-05-23T07:10:20,False,,,00,,,,"ABRAMS, DR MARCIA KAREN",C,,,,,,,False,,,,N,[2018],REP,2017-01-25,,,H8NC00023,,,H,,,,NC,,2017-01-25,,,,,[u'00'],,,,REPUBLICAN PARTY,0,,,,,,,,,H8NC00023
2017,[2018],,349.2,349.2,2018,,2017-04-01T00:00:00+00:00,Open seat,2018,,0.0,House,,413.2,,2017-05-16,0.0,404.2,0.0,2017-08-01T20:57:28,True,,0.0,01,392.72,64.0,0.0,"ABRAMS, JOHN E.",O,0.0,0.0,-11.48,349.2,404.2,0.0,False,0.0,0.0,,N,[2018],DEM,2017-05-16,OCTOBER QUARTERLY,0.0,H8NM01356,0.0,0.0,H,20.48,,0.0,NM,,2017-05-16,False,0.0,0.0,,[u'01'],0.0,,0.0,DEMOCRATIC PARTY,1,139.2,2017-09-30T00:00:00+00:00,,201710029075570250,0.0,29.2,349.2,,H8NM01356
2017,"[2016, 2018]",,0.0,0.0,2018,,2017-01-01T00:00:00+00:00,Challenger,2018,,0.0,Senate,,0.0,,2017-01-23,0.0,0.0,0.0,2017-05-23T07:10:20,True,,0.0,00,0.0,0.0,0.0,"ABRAMS, MARCIA KAREN DR PHD",C,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,N,"[2016, 2018]",REP,2017-01-23,JULY QUARTERLY,0.0,S6NC00324,0.0,0.0,S,0.0,,0.0,NC,,2016-08-17,False,0.0,0.0,,"[u'00', u'00']",0.0,,0.0,REPUBLICAN PARTY,0,0.0,2017-06-30T00:00:00+00:00,,201706160200155346,0.0,0.0,0.0,,S6NC00324
2016,[2018],,100400.0,400.0,2016,,2016-04-18T00:00:00+00:00,Challenger,2018,,0.0,House,,100400.0,,2016-07-22,0.0,100400.0,0.0,2017-01-05T21:04:01,True,,0.0,07,100400.0,0.0,0.0,"ACKER, BRANDON W.",C,0.0,74712.0,0.0,100400.0,25687.0,0.0,False,0.0,0.0,,N,"[2016, 2018]",DEM,2016-07-22,TERMINATION REPORT,100000.0,H8NC07093,0.0,74712.0,H,0.0,,400.0,NC,,2016-05-10,False,0.0,0.0,,[u'07'],0.0,,0.0,DEMOCRATIC PARTY,7,100400.0,2016-08-09T00:00:00+00:00,,201610280300114815,0.0,100400.0,0.0,,H8NC07093
