state,office,district,name,party,general_seat,filing_date,primary_date,election_date
AL,House,2,"Roby, Martha",R,I,2/9/18,6/5/18,11/6/18
AL,House,2,"Williams, Audri Scott",D,C,2/9/18,6/5/18,11/6/18
AL,House,2,"Isner, Tabitha Kay",D,C,2/9/18,6/5/18,11/6/18
AL,House,7,"Sewell, Terri A.",D,I,2/9/18,6/5/18,11/6/18
AR,House,2,"Combs, Gwendolyn Millen",D,C,3/1/18,5/22/18,11/6/18
AR,House,4,"Shamel, Hayden C.",D,C,3/1/18,5/22/18,11/6/18
AZ,Senate,,"Ward, Kelli",R,O,5/30/18,8/28/18,11/6/18
AZ,Senate,,"Abboud, Deedra",D,O,5/30/18,8/28/18,11/6/18
AZ,Senate,,"Sinema, Kyrsten",D,O,5/30/18,8/28/18,11/6/18
AZ,Senate,,"McSally, Martha",R,O,5/30/18,8/28/18,11/6/18
AZ,House,1,"Shedd, Tiffany",R,C,5/30/18,8/28/18,11/6/18
AZ,House,2,"Kirkpatrick, Ann L.",D,C,5/30/18,8/28/18,11/6/18
AZ,House,2,"Matiella, Mary Sally",D,C,5/30/18,8/28/18,11/6/18
AZ,House,2,"Sherry, Barbara Louise",D,C,5/30/18,8/28/18,11/6/18
AZ,House,3,"Miguel, Edna San",R,C,5/30/18,8/28/18,11/6/18
AZ,House,4,"Perez, Anna Maria",D,C,5/30/18,8/28/18,11/6/18
AZ,House,5,"Greene, Joan",D,C,5/30/18,8/28/18,11/6/18
AZ,House,6,"Ross, Heather Maura",D,C,5/30/18,8/28/18,11/6/18
AZ,House,6,"Malik, Anita",D,C,5/30/18,8/28/18,11/6/18
AZ,House,7,"Miranda, Catherine",D,CP,5/30/18,8/28/18,11/6/18
AZ,House,8,"Westbrook, Brianna",D,C,5/30/18,8/28/18,11/6/18
AZ,House,8,"McHale, Judith Keenan",D,C,5/30/18,8/28/18,11/6/18
AZ,House,8,"Tipirneni, Hiral Vyas",D,C,5/30/18,8/28/18,11/6/18
AZ,House,9,"Behr, Irina Baroness Von",R,C,5/30/18,8/28/18,11/6/18
AZ,House,9,"Fuentes, Talia",D,CP,5/30/18,8/28/18,11/6/18
CA,Senate,,"Feinstein, Dianne",D,I,3/9/18,6/5/18,11/6/18
CA,Senate,,"Lancona, Caren D.",R,C,3/9/18,6/5/18,11/6/18
CA,Senate,,"Hartson, Alison M.",D,CP,3/9/18,6/5/18,11/6/18
CA,House,1,"Holcombe, Jessice",D,C,3/9/18,6/5/18,11/6/18
CA,House,1,"Walters, Martha",D,C,3/9/18,6/5/18,11/6/18
CA,House,4,"Bateson, Regina",D,C,3/9/18,6/5/18,11/6/18
CA,House,4,"Calderon, Roza I.",D,C,3/9/18,6/5/18,11/6/18
CA,House,4,"Morse, Jessica",D,C,3/9/18,6/5/18,11/6/18
CA,House,6,"Matsui, Doris O.",D,I,3/9/18,6/5/18,11/6/18
CA,House,10,"Nygard, Dotty",D,C,3/9/18,6/5/18,11/6/18
CA,House,10,"Madueno, Virginia",D,C,3/9/18,6/5/18,11/6/18
CA,House,10,"Zwahlen, Sue",D,C,3/9/18,6/5/18,11/6/18
CA,House,12,"Pelosi, Nancy",D,I,3/9/18,6/5/18,11/6/18
CA,House,13,"Lee, Barbara J.",D,I,3/9/18,6/5/18,11/6/18
