loans_received_from_candidate,last_report_year,contributions,refunded_other_political_committee_contributions,party,last_cash_on_hand_end_period,other_political_committee_contributions,individual_contributions,total_offsets_to_operating_expenditures,repayments_other_loans,incumbent_challenge,repayments_loans_made_by_candidate,cycle,refunded_political_party_committee_contributions,loan_repayments_other_loans,incumbent_challenge_full,last_net_operating_expenditures,last_report_type_full,has_raised_funds,party_full,federal_funds,flags,political_party_committee_contributions,loans,last_net_contributions,full_election,last_file_date,disbursements,fundraising_disbursements,first_file_date,receipts,district_number,coverage_end_date,loan_repayments,candidate_id,rutgers_sex,district,refunded_individual_contributions,cycles,exempt_legal_accounting_disbursement,loan_repayments_made,last_f2_date,last_beginning_image_number,offsets_to_fundraising_expenditures,last_debts_owed_to_committee,offsets_to_operating_expenditures,other_disbursements,state,other_receipts,loans_received,candidate_contribution,transfers_from_affiliated_committee,contribution_refunds,election_years,transfers_from_other_authorized_committee,loans_made_by_candidate,net_operating_expenditures,federal_funds_flag,load_date,name,election_districts,other_loans_received,all_other_loans,offsets_to_legal_accounting,transfers_to_other_authorized_committee,operating_expenditures,individual_unitemized_contributions,active_through,loan_repayments_candidate_loans,candidate_status,office_full,coverage_start_date,net_contributions,last_debts_owed_by_committee,individual_itemized_contributions,office
,2017,89880.51,0.0,DEM,15526.13,0.0,82786.0,,,C,,2018,0.0,0.0,Challenger,60596.91,OCTOBER QUARTERLY,True,DEMOCRATIC PARTY,,H8CO06237,0.0,0.0,35562.0,False,2017-04-26,74420.85,,2017-04-26,89946.98,6,2017-09-30T00:00:00+00:00,0.0,H8CO06237,,06,54.0,[2018],,,2017-04-26,201710159075705670,,0.0,66.47,0.0,CO,0.0,,7094.51,,0.0,[2018],0.0,0.0,74300.38,False,2017-08-01T20:57:28,"AARESTAD, DAVID",[u'06'],,0.0,,0.0,74366.85,22389.0,2018,0.0,C,House,2017-04-01T00:00:00+00:00,89826.51,0.0,60397.0,H
,,,,REP,,,,,,C,,,,,Challenger,,,False,REPUBLICAN PARTY,,H6AZ03245,,,,,2017-04-10,,,2017-04-10,,3,,,H6AZ03245,,03,,"[2016, 2018]",,,2017-04-10,,,,,,AZ,,,,,,"[2016, 2018]",,,,False,2017-04-19T21:05:08,"ABATECOLA, BILL","[u'03', u'03']",,,,,,,2018,,N,House,,,,,H
,2017,20442.0,0.0,DEM,7849.0,0.0,15907.0,,,C,,2018,0.0,0.0,Challenger,8490.0,OCTOBER QUARTERLY,True,DEMOCRATIC PARTY,,S8AZ00122,0.0,0.0,13583.0,False,2017-04-11,12594.0,,2017-04-11,20442.0,0,2017-09-30T00:00:00+00:00,0.0,S8AZ00122,F,00,14.0,[2018],,,2017-04-11,201710130200291763,,0.0,0.0,0.0,AZ,0.0,,4535.0,,0.0,[2018],0.0,0.0,12580.0,False,2017-10-31T20:56:03,"ABBOUD, DEEDRA",[u'00'],,0.0,,0.0,12580.0,11587.0,2018,0.0,C,Senate,2017-04-01T00:00:00+00:00,20428.0,73975.0,4320.0,S
,2017,65997.34,0.0,DEM,0.0,0.0,65997.34,,,C,,2018,0.0,0.0,Challenger,3615.61,TERMINATION REPORT,True,DEMOCRATIC PARTY,,H8MN05163,0.0,0.0,-38360.0,False,2017-01-18,65997.35,,2017-01-18,65997.35,5,2017-06-30T00:00:00+00:00,0.0,H8MN05163,,05,41200.0,[2018],,,2017-01-18,201706309066462046,,0.0,0.0,8586.46,MN,0.01,,0.0,,0.0,[2018],0.0,0.0,16210.89,False,2017-05-04T23:07:53,"ABDULAHI, JAMAL MR.",[u'05'],,0.0,,0.0,16210.89,2250.0,2018,0.0,C,House,2017-01-01T00:00:00+00:00,24797.34,0.0,63747.34,H
,,,,DEM,,,,,,,,,,,,,,False,DEMOCRATIC PARTY,,H8GA06377,,,,,2017-10-20,,,2017-10-20,,6,,,H8GA06377,,06,,[2018],,,2017-10-20,,,,,,GA,,,,,,[2018],,,,False,2017-10-20T21:01:07,"ABEL, KEVIN",[u'06'],,,,,,,2018,,N,House,,,,,H
,2017,344539.78,0.0,REP,297161.94,146200.0,194339.78,,,I,,2018,0.0,0.0,Incumbent,43076.67,OCTOBER QUARTERLY,True,REPUBLICAN PARTY,,H4LA05221,4000.0,0.0,78039.78,False,2017-05-31,258590.38,,2014-05-23,347590.94,5,2017-09-30T00:00:00+00:00,75000.0,H4LA05221,,05,0.0,"[2014, 2016, 2018]",,,2017-05-31,201710139075659126,,0.0,0.0,14870.0,LA,3051.16,,0.0,,0.0,"[2014, 2016, 2018]",0.0,0.0,168720.38,False,2017-06-05T23:09:09,"ABRAHAM, RALPH LEE DR. JR.","[u'05', u'05', u'05']",,0.0,,0.0,168720.38,4089.78,2018,75000.0,C,House,2017-01-01T00:00:00+00:00,344539.78,0.0,190250.0,H
,,,,REP,,,,,,C,,,,,Challenger,,,False,REPUBLICAN PARTY,,H8NC00023,,,,,2017-01-25,,,2017-01-25,,0,,,H8NC00023,,00,,[2018],,,2017-01-25,,,,,,NC,,,,,,[2018],,,,False,2017-05-23T07:10:20,"ABRAMS, DR MARCIA KAREN",[u'00'],,,,,,,2018,,N,House,,,,,H
,2017,349.2,0.0,DEM,20.48,0.0,349.2,,,O,,2018,0.0,0.0,Open seat,139.2,OCTOBER QUARTERLY,True,DEMOCRATIC PARTY,,H8NM01356,0.0,0.0,29.2,False,2017-05-16,392.72,,2017-05-16,413.2,1,2017-09-30T00:00:00+00:00,0.0,H8NM01356,,01,0.0,[2018],,,2017-05-16,201710029075570250,,0.0,0.0,-11.48,NM,64.0,,0.0,,0.0,[2018],0.0,0.0,404.2,False,2017-08-01T20:57:28,"ABRAMS, JOHN E.",[u'01'],,0.0,,0.0,404.2,349.2,2018,0.0,N,House,2017-04-01T00:00:00+00:00,349.2,0.0,0.0,H
,2017,0.0,0.0,REP,0.0,0.0,0.0,,,C,,2018,0.0,0.0,Challenger,0.0,JULY QUARTERLY,True,REPUBLICAN PARTY,,S6NC00324,0.0,0.0,0.0,False,2017-01-23,0.0,,2016-08-17,0.0,0,2017-06-30T00:00:00+00:00,0.0,S6NC00324,,00,0.0,"[2016, 2018]",,,2017-01-23,201706160200155346,,0.0,0.0,0.0,NC,0.0,,0.0,,0.0,"[2016, 2018]",0.0,0.0,0.0,False,2017-05-23T07:10:20,"ABRAMS, MARCIA KAREN DR PHD","[u'00', u'00']",,0.0,,0.0,0.0,0.0,2018,0.0,N,Senate,2017-01-01T00:00:00+00:00,0.0,0.0,0.0,S
,2016,100400.0,0.0,DEM,0.0,0.0,400.0,,,C,,2016,0.0,0.0,Challenger,100400.0,TERMINATION REPORT,True,DEMOCRATIC PARTY,,H8NC07093,0.0,0.0,100400.0,False,2016-07-22,100400.0,,2016-05-10,100400.0,7,2016-08-09T00:00:00+00:00,0.0,H8NC07093,,07,74712.0,"[2016, 2018]",,,2016-07-22,201610280300114815,,0.0,74712.0,0.0,NC,0.0,,100000.0,,0.0,[2018],0.0,0.0,100400.0,False,2017-01-05T21:04:01,"ACKER, BRANDON W.",[u'07'],,0.0,,0.0,25687.0,0.0,2018,0.0,N,House,2016-04-18T00:00:00+00:00,100400.0,0.0,400.0,H
,,,,REP,,,,,,C,,,,,Challenger,,,False,REPUBLICAN PARTY,,S8OH00094,,,,,2017-09-21,,,2017-09-21,,0,,,S8OH00094,F,00,,[2018],,,2017-09-21,,,,,,OH,,,,,,[2018],,,,False,2017-10-05T20:56:00,"ACKISON, MELISSA",[u'00'],,,,,,,2018,,N,Senate,,,,,S
,,,,LIB,,,,,,C,,,,,Challenger,,,False,LIBERTARIAN PARTY,,H8TX06209,,,,,2017-03-29,,,2017-03-29,,6,,,H8TX06209,,06,,[2018],,,2017-03-29,,,,,,TX,,,,,,[2018],,,,False,2017-04-19T21:05:08,"ADAIR, GLENN DAREN MR. N/A",[u'06'],,,,,,,2018,,N,House,,,,,H
,2017,134259.1,0.0,DEM,156185.6,105600.0,28659.1,,,I,,2018,0.0,0.0,Incumbent,23684.64,OCTOBER QUARTERLY,True,DEMOCRATIC PARTY,,H4NC12100,0.0,0.0,42843.0,False,2017-01-23,84928.76,,2013-06-27,134259.1,12,2017-09-30T00:00:00+00:00,0.0,H4NC12100,,12,0.0,"[2014, 2016, 2018]",,,2017-01-23,201710139075627140,,0.0,0.0,6350.0,NC,0.0,,0.0,,0.0,"[2014, 2016, 2018]",0.0,0.0,68578.76,False,2017-05-05T21:04:59,"ADAMS, ALMA SHEALEY","[u'12', u'12', u'12']",,0.0,,10000.0,68578.76,2009.1,2018,0.0,C,House,2017-01-01T00:00:00+00:00,134259.1,0.0,26650.0,H
,,,,DEM,,,,,,C,,,,,Challenger,,,False,DEMOCRATIC PARTY,,S8CT00105,,,,,2017-04-24,,,2017-03-01,,0,,,S8CT00105,,00,,[2018],,,2017-04-24,,,,,,CT,,,,,,[2018],,,,False,2017-05-23T07:10:20,"ADAMS, ANN MARIE DR",[u'00'],,,,,,,2018,,N,Senate,,,,,S
